a,b,cos,inliers,n_photos,photo_a,photo_b
1014736079,1015882515,0.9744146466255188,996,3,1014736079/1.jpg,1015882515/2.jpg
1007902174,1013425663,0.9953011274337769,995,1,1007902174/0.jpg,1013425663/2.jpg
1015789805,1015908340,0.9981378316879272,994,3,1015789805/0.jpg,1015908340/2.jpg
1015663719,1015663985,0.9992431998252869,990,1,1015663719/1.jpg,1015663985/1.jpg
1015865250,762129480,0.997687578201294,986,3,1015865250/0.jpg,762129480/3.jpg
1010404066,1010408057,0.9980772733688354,976,2,1010404066/3.jpg,1010408057/0.jpg
1015798224,1015865959,0.9964996576309204,968,2,1015798224/0.jpg,1015865959/2.jpg
1015275128,1015310935,0.996517539024353,956,2,1015275128/0.jpg,1015310935/2.jpg
1015201365,1015481683,0.9964437484741211,944,2,1015201365/1.jpg,1015481683/3.jpg
1015666055,1015926439,0.9726495742797852,935,4,1015666055/1.jpg,1015926439/0.jpg
1005985829,761713734,0.9952385425567627,932,1,1005985829/0.jpg,761713734/0.jpg
1010459550,1015494587,0.9635252952575684,926,1,1010459550/0.jpg,1015494587/1.jpg
1015548163,1015780866,0.9669931530952454,924,1,1015548163/3.jpg,1015780866/0.jpg
1015767377,1015900800,0.9582540392875671,917,1,1015767377/2.jpg,1015900800/2.jpg
1008772173,1015690306,0.995633602142334,916,2,1008772173/0.jpg,1015690306/2.jpg
1015873297,1015878787,0.9996830224990845,913,4,1015873297/0.jpg,1015878787/0.jpg
1008772807,1015689515,0.9976311922073364,912,3,1008772807/0.jpg,1015689515/3.jpg
1000663020,1015879869,0.985893189907074,905,1,1000663020/3.jpg,1015879869/0.jpg
1015778744,1015845786,0.9919717311859131,883,2,1015778744/0.jpg,1015845786/2.jpg
1013815558,686093977,0.9974644780158997,874,2,1013815558/0.jpg,686093977/0.jpg
660762395,684477747,0.9909050464630127,854,2,660762395/1.jpg,684477747/1.jpg
1015443835,1015458472,0.9958860874176025,851,1,1015443835/0.jpg,1015458472/0.jpg
1009842436,1015790271,0.908673882484436,841,1,1009842436/2.jpg,1015790271/0.jpg
1014435969,1015737045,0.9947834014892578,838,1,1014435969/0.jpg,1015737045/0.jpg
1015350218,1015350435,0.9992166757583618,826,2,1015350218/1.jpg,1015350435/2.jpg
1002341091,1015758893,0.9761527180671692,821,1,1002341091/0.jpg,1015758893/2.jpg
1011695424,680542020,0.9972802996635437,816,3,1011695424/3.jpg,680542020/1.jpg
1014327490,1015162089,0.9901683926582336,811,1,1014327490/2.jpg,1015162089/3.jpg
1015497598,1015799486,0.9996684789657593,809,3,1015497598/1.jpg,1015799486/1.jpg
1015690275,694171229,0.9966146349906921,806,1,1015690275/0.jpg,694171229/0.jpg
1015636098,686636822,0.976093053817749,803,1,1015636098/2.jpg,686636822/2.jpg
1015549105,1015726859,0.9999980330467224,793,4,1015726859/0.jpg,1015726859/0.jpg
1015793040,1015894590,0.9996800422668457,788,4,1015793040/2.jpg,1015894590/0.jpg
1015677852,1015865347,0.998281717300415,786,2,1015677852/3.jpg,1015865347/2.jpg
1002179084,1015076332,0.9990963935852051,781,2,1002179084/0.jpg,1015076332/3.jpg
1015701537,1015867185,0.9996925592422485,770,3,1015701537/2.jpg,1015867185/2.jpg
1014665937,1015031221,0.994958758354187,769,2,1014665937/1.jpg,1015031221/1.jpg
760190728,760192070,0.9995280504226685,768,5,760190728/1.jpg,760192070/2.jpg
1008723726,1015689659,0.9991785287857056,767,2,1008723726/3.jpg,1015689659/2.jpg
1011482353,696463232,0.994820237159729,766,1,1011482353/0.jpg,696463232/0.jpg
1014734944,1014736657,0.9972327947616577,765,4,1014734944/0.jpg,1014736657/0.jpg
1014951491,1015108467,0.9961774349212646,761,4,1014951491/2.jpg,1015108467/0.jpg
1015255774,1015255779,0.9992457628250122,740,3,1015255774/1.jpg,1015255779/2.jpg
1015549105,1015620179,0.9998419880867004,733,4,1015726859/0.jpg,1015620179/2.jpg
1015557966,1015620179,0.999822735786438,733,4,1015557966/2.jpg,1015620179/2.jpg
1015557966,1015726859,0.9997540712356567,732,5,1015557966/2.jpg,1015726859/0.jpg
1015554014,1015682862,0.9986343383789062,732,1,1015554014/1.jpg,1015682862/2.jpg
692982848,694071133,0.99998539686203,731,3,694071133/2.jpg,694071133/2.jpg
1015549105,1015557966,0.9997540712356567,731,4,1015726859/0.jpg,1015557966/2.jpg
1006333204,1015205911,0.9343119859695435,727,1,1006333204/0.jpg,1015205911/0.jpg
1015598235,1015698879,0.9983103275299072,721,2,1015598235/0.jpg,1015698879/1.jpg
1015336036,1015461905,0.9883097410202026,719,1,1015336036/2.jpg,1015461905/1.jpg
1015640876,1015818981,0.977271318435669,717,2,1015640876/3.jpg,1015818981/3.jpg
1015887029,1015899735,0.9970639944076538,715,3,1015887029/0.jpg,1015899735/1.jpg
1015232622,1015691586,0.9960976839065552,709,1,1015232622/0.jpg,1015691586/3.jpg
1002782644,1003491560,0.9781047105789185,709,2,1002782644/0.jpg,1003491560/0.jpg
1014753960,1015448673,0.9979388117790222,703,5,1014753960/3.jpg,1015448673/0.jpg
1015361851,1015362489,0.9977298974990845,702,2,1015361851/1.jpg,1015362489/1.jpg
1003212894,1010213238,0.9960042238235474,695,1,1003212894/0.jpg,1010213238/0.jpg
1015733947,1015734693,0.9968709945678711,690,2,1015733947/0.jpg,1015734693/2.jpg
1012725616,1015298400,0.9988858103752136,688,3,1012725616/3.jpg,1015298400/3.jpg
1015378190,1015922604,0.9908402562141418,686,2,1015378190/0.jpg,1015922604/3.jpg
1011452632,1012292551,0.997873067855835,682,3,1011452632/0.jpg,1012292551/2.jpg
1012659416,1014303782,0.9878779649734497,668,1,1012659416/2.jpg,1014303782/3.jpg
1015802180,673956346,0.9887468814849854,665,3,1015802180/1.jpg,673956346/2.jpg
1015003295,696714020,0.9661338329315186,665,1,1015003295/0.jpg,696714020/0.jpg
1012218716,1012218826,0.9988623857498169,653,4,1012218716/1.jpg,1012218826/1.jpg
1014999843,1015168426,0.9935272932052612,646,3,1014999843/0.jpg,1015168426/0.jpg
1015739705,761329948,0.9877890348434448,641,1,1015739705/3.jpg,761329948/3.jpg
1001255308,1015837496,0.9870078563690186,641,1,1001255308/1.jpg,1015837496/2.jpg
1014212275,1014217396,0.9959667325019836,640,2,1014212275/0.jpg,1014217396/2.jpg
1015269016,1015270146,0.9954109191894531,636,3,1015269016/2.jpg,1015270146/1.jpg
1006334352,1006423574,0.9990288019180298,632,2,1006334352/0.jpg,1006423574/0.jpg
1010804334,1013825679,0.9993970394134521,620,4,1010804334/0.jpg,1013825679/0.jpg
1015594890,1015594896,0.9956738352775574,610,4,1015594890/2.jpg,1015594896/1.jpg
1015212880,1015768272,0.9890265464782715,609,2,1015212880/0.jpg,1015768272/0.jpg
